name,address,"type {dadawadi, tirth}",state_name,
Rambagh Indore Dadabari,"Scheme No 71, Indore Indore",Dadawadi,Madhya Pradesh,
Kirat Bagh Dadabari,Jiaganj,Dadawadi,West Bengal,
Deraur Dadabari,"Jamdoli , Jaipur",Dadawadi,Rajasthan,
Kathgola Dadabari,Murshidabad,Dadawadi,West Bengal,
Tiruppattur Dadabari,Tiruppattur,Dadawadi,Tamil Nadu,
Beawar Dadabari,Beawar,Dadawadi,Rajasthan,
Kishangarh Dadabari,"Pal Bichala , Ajmer",Dadawadi,Rajasthan,
Bijaynagar (Ajmer) Dadawadi,Bilara,Dadawadi,Rajasthan,
"Kekri Dadawadi, Ajmer",Ajmer,Dadawadi,Rajasthan,
Azimgunj Dadawadi,Murshidabad,Dadawadi,West Bengal,
Jiaganj Dadabari,"Badurtala, Jiaganj Murshidabad",Dadawadi,West Bengal,
Kolkata Dadabari,"32, Raja Dinedra, Badri Das Temple Road, Gouri Bari, Maniktala, Kolkata",Dadawadi,West Bengal,
Katgola Dadabari,Jiaganj,Dadawadi,West Bengal,
Shyamnagar Dadabari,Jaipur,Dadawadi,Rajasthan,
Vaniyambodi Dadabari,,Dadawadi,Tamil Nadu,
Kamaldah Dadabadi,,Dadawadi,Bihar,
