date{m/d/Y},weekday,lunar_year,lunar_month,lunar_tithi,"shubh_din { Yes, No}",lunar_cycle,description
27 Oct 16,Thursday,2073,Karthik,12,,Krushna,Shri Padmaprabhswami - Janm Kalyanak; Shri Neminath - Chyavan Kalyanak
28 Oct 16,Friday,2073,Karthik,13,Yes,Krushna,Shri Padmaprabhswami - Diksha Kalyanak
29 Oct 16,Saturday,2073,Karthik,14,Yes,Krushna,Pakshik Pratikraman
30 Oct 16,Sunday,2073,Karthik,30,,Krushna,Shri Mahaveerswami - Moksh Kalyanak; Diwali
31 Oct 16,Monday,2073,Karthik,1,Yes,Shukla,Gautam Ras Vanchan
1 Nov 16,Tuesday,2073,Karthik,2,,Shukla,
2 Nov 16,Wednesday,2073,Karthik,3,Yes,Shukla,Shri Suvidhinath - Kevalgyan Kalyanak
3 Nov 16,Thursday,2073,Karthik,4,,Shukla,
4 Nov 16,Friday,2073,Karthik,4,,Shukla,
5 Nov 16,Saturday,2073,Karthik,5,,Shukla,Gyan Panchami
6 Nov 16,Sunday,2073,Karthik,6,,Shukla,
7 Nov 16,Monday,2073,Karthik,7,Yes,Shukla,
8 Nov 16,Tuesday,2073,Karthik,8,,Shukla,
9 Nov 16,Wednesday,2073,Karthik,9,,Shukla,
10 Nov 16,Thursday,2073,Karthik,10,Yes,Shukla,
11 Nov 16,Friday,2073,Karthik,11,,Shukla,
,,,Karthik,12,,Shukla,Shri Arnath - Kevalgyan Kalyanak
12 Nov 16,Saturday,2073,Karthik,13,Yes,Shukla,
13 Nov 16,Sunday,2073,Karthik,14,,Shukla,Choumasi Pratikraman
14 Nov 16,Monday,2073,Karthik,15,Yes,Shukla,
